transcript_id,item_code,event_type,kind,language,segments,passages,k_passages,qa_status,qa_failures,collapsed,word_total,duration_total,word_k,duration_k,word_q,duration_q,word_ann,duration_ann,word_unk,duration_unk,word_pct_k,duration_pct_k,word_pct_q,duration_pct_q,word_pct_ann,duration_pct_ann,word_pct_unk,duration_pct_unk
50,BR73T2,T,manual,en,55,80,52,pass,,0,6507,5325.769999999997,5918,5080.149999999998,578,237.47999999999865,11,8.14,0,0.0,90.94820962040879,95.38808472765442,8.88274166282465,4.45907352364069,0.16904871676655908,0.1528417487048822,0.0,0.0
51,BR73D1,D,manual,en,226,231,118,pass,,0,9158,5654.609999999995,7449,4768.119585997335,1695,877.2304140026595,14,9.26,0,0.0,81.3387202445949,84.3226957473166,18.508407949333915,15.513544064093903,0.15287180607119458,0.1637601885894873,0.0,0.0
52,BR73D2,D,manual,en,206,213,110,pass,,0,7380,4360.020000000001,6098,3850.127454545458,1268,501.1925454545439,14,8.700000000000001,0,0.0,82.62872628726288,88.30527049292107,17.181571815718158,11.495189137998077,0.1897018970189702,0.19954036908087575,0.0,0.0
53,BR73T3,T,manual,en,3,14,12,pass,,0,5652,4692.04,1910,1685.1109999999999,3731,2999.0690000000004,11,7.859999999999999,0,0.0,33.793347487615,35.914250517898395,66.01203113941968,63.91823172862977,0.194621372965322,0.16751775347183742,0.0,0.0
54,BR73T4,T,manual,en,5,7,4,pass,,0,4775,4321.389999999999,532,455.3300000000004,151,146.44999999999936,4092,3719.61,0,0.0,11.141361256544503,10.536656029657134,3.162303664921466,3.388955868366414,85.69633507853403,86.07438810197645,0.0,0.0
55,BR74T1,T,manual,en,27,41,27,pass,,0,6544,5224.900000000001,3097,2291.5589999999993,1773,1471.2651176470602,1674,1462.075882352941,0,0.0,47.325794621026894,43.85842791249592,27.093520782396087,28.158722992728283,25.58068459657702,27.9828490947758,0.0,0.0
56,BR74T2,T,manual,en,15,31,23,pass,,0,6600,5095.280000000001,3371,2469.7580000000007,137,144.96199999999908,3092,2480.56,0,0.0,51.07575757575758,48.47148733730041,2.0757575757575757,2.845025199792731,46.84848484848485,48.68348746290684,0.0,0.0
57,BR74D1,D,manual,en,81,98,57,pass,,0,6445,6159.88,5915,5496.015,348,496.9949999999998,182,166.87,0,0.0,91.7765709852599,89.22276083300324,5.399534522885958,8.068257823204345,2.8238944918541504,2.7089813437924115,0.0,0.0
58,BR74D2,D,manual,en,120,132,72,pass,,0,6719,5065.65,5174,3918.8687807486613,1534,1139.0212192513386,11,7.760000000000001,0,0.0,77.00550677184104,77.36161757619776,22.830778389641317,22.485193790556764,0.16371483851763655,0.1531886332454868,0.0,0.0
59,BR74T3,T,manual,en,11,13,7,pass,,0,5776,4741.839999999999,782,546.2250000000004,43,62.33499999999913,4951,4133.28,0,0.0,13.538781163434903,11.51926256474281,0.7444598337950139,1.314574089383006,85.71675900277009,87.1661633458742,0.0,0.0
