event_type,items,segments,passages,qa_failures,collapsed,word_total,duration_total,word_k,word_q,word_ann,word_unk,duration_k,duration_q,duration_ann,duration_unk,word_pct_k,duration_pct_k,word_pct_q,duration_pct_q,word_pct_ann,duration_pct_ann,word_pct_unk,duration_pct_unk
FOE,1,16,19,0,0,1023,602.8100000000002,703,108,212,0,448.2606776556777,64.15932234432245,90.39000000000001,0.0,68.71945259042033,74.36185160426628,10.557184750733137,10.643373922848397,20.72336265884653,14.99477447288532,0.0,0.0
FOF,1,2,2,0,1,2352,1890.58,0,1230,1122,0,0.0,1101.7445454545455,788.8354545454546,0.0,0.0,0.0,52.295918367346935,58.27547871312219,47.704081632653065,41.72452128687782,0.0,0.0
FOG,1,13,13,0,0,1537,716.1299999999999,36,105,372,0,14.870000000000005,39.73636363636365,195.98999999999998,0.0,2.342225113858165,2.0764386354432864,6.831489915419649,5.548764000441771,24.20299284320104,27.36793598927569,0.0,0.0
FQA,1,2,9,0,0,1482,1091.67,1279,0,203,0,990.8900000000001,0.0,100.78,0.0,86.30229419703105,90.7682724632902,0.0,0.0,13.697705802968962,9.23172753670981,0.0,0.0
FRR,8,201,263,0,0,19190,13292.262000000002,16739,2451,0,0,12261.068056746031,1031.1939432539689,0.0,0.0,87.22772277227723,92.24214852781287,12.772277227722773,7.757851472187117,0.0,0.0,0.0,0.0
FSM,1,105,126,0,0,11070,6059.330000000005,5109,0,186,0,3045.875338161842,0.0,172.43,0.0,46.15176151761518,50.26752690746071,0.0,0.0,1.6802168021680217,2.845694160905576,0.0,0.0
I,1,52,57,0,0,1814,935.8399999999999,1576,26,32,0,830.7943964646468,15.340000000000032,12.34,0.0,86.87982359426681,88.77526035055638,1.4332965821389194,1.6391690887331203,1.7640573318632855,1.3186014703368099,0.0,0.0
IFW,1,469,469,0,0,8175,5288.06,4721,0,26,0,3195.2789999999973,0.0,26.900000000000002,0.0,57.74923547400611,60.42440895148688,0.0,0.0,0.3180428134556575,0.5086931691395332,0.0,0.0
IIT,1,1,37,1,0,6068,5064.75,6068,0,0,0,5064.75,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
IRF,1,61,61,0,0,3438,1441.345000000001,769,0,325,0,409.3988888888889,0.0,127.21300000000001,0.0,22.36765561372891,28.40394831833382,0.0,0.0,9.453170447934847,8.825992389053274,0.0,0.0
Q,64,780,1266,20,16,390697,315760.83500000014,107171,265970,17548,0,85919.17447554115,215238.48074379517,14575.338030663781,0.0,27.430719969695186,27.210206254851432,68.07577227365452,68.16503406567033,4.491460134068088,4.615942325673092,0.0,0.0
S,55,18449,18693,0,0,560158,309252.25499999995,263952,94832,8410,0,173894.07839546568,46191.79954427336,3991.250000000001,0.0,47.12099086329214,56.23049649079057,16.92950917419728,14.936608803151127,1.5013621156887877,1.2906130627891466,0.0,0.0
SBR,3,1274,1277,0,0,25563,14196.159999999996,10892,343,394,0,7380.077931068925,296.2386666666663,226.07999999999998,0.0,42.608457536282906,51.98643810064783,1.341783045808395,2.086752098219986,1.5412901459140163,1.5925433356626022,0.0,0.0
T,400,4585,12039,21,21,2070434,1733824.8409999993,1403153,297516,369398,0,1174289.8920307986,244219.99851901326,315111.946997807,0.0,67.77096009822095,67.72828859422248,14.369740836945297,14.085621150643865,17.84157331264846,18.174381837559977,0.0,0.0
TS,3,116,187,0,0,17807,13312.58,15751,206,1526,0,11264.783,135.5220000000004,1596.9299999999998,0.0,88.45397877239287,84.61757976290096,1.1568484303925421,1.0179995162470414,8.569663615432134,11.995646223346636,0.0,0.0
TYP,3,22,80,0,1,15524,13410.56,10879,1207,3437,0,9350.369999999999,996.5366666666669,3062.5733333333337,0.0,70.07858799278536,69.72393397442015,7.775057974748776,7.430984736406734,22.13991239371296,22.83702793420509,0.0,0.0
WOL,1,504,504,0,0,7873,4483.34,4161,0,15,0,3006.4177494172495,0.0,11.399999999999999,0.0,52.85151784580211,67.05754525459254,0.0,0.0,0.1905245776705195,0.25427471483313774,0.0,0.0
