pdf_order,series_code,series_title,mega_group,episodes,sections,year_from,year_to
747,SA78T1-7,D1-5 Is it possible to observe the whole movement of,01,12,1D,1978,1978
759,SA79T1-7,D1-5 What love is not,01,12,1D,1979,1979
771,SA80T1-7,Q1-5 When there is freedom,01,12,1D,1980,1980
783,SA81T1-7,Q1-3 The turning point,01,10,1D,1981,1981
793,SA82T1-6,Q1-3 Is there an intelligence which has no cause?,01,9,1D,1982,1982
802,SA83T1-6,Q1-3 Why has the brain got caught in the narrow circle of the self?,01,9,1D,1983,1983
811,SA84T1-6,Q1-3 Why has man after thousands of years not found peace?,01,9,1D,1984,1984
820,SA85T1-5,Q1-3 Without beauty and love there is no truth,01,8,1D,1985,1985
828,AM67T1-5,One sees or understands only when the mind is quiet,01,5,1E,1967,1967
833,AM68T1-5,Can thought become quiet?,01,5,1E,1968,1968
838,PA69T1-5,DYP1-4 Looking at the totality of life,01,5,1E,1969,1969
838,PA69T1-5,DYP1-4 Looking at the totality of life,02,4,2A,1969,1969
843,AM69T1-5,The flame of change,01,5,1E,1969,1969
849,FL70T,TYP A way of living that constantly renews itself,01,1,1E,1970,1970
849,FL70T,TYP A way of living that constantly renews itself,02,1,2A,1970,1970
850,SY70T1-5,D1-2 Seeing the whole spectrum of life,01,7,1E,1970,1970
857,AM71DYP,T1-4 - Amsterdam 1971 - Public Meetings - How do you observe a,01,4,1E,1971,1971
857,AM71DYP,T1-4 - Amsterdam 1971 - Public Meetings - How do you observe a,02,1,2A,1971,1971
863,RO73T,DSG1-2 When the observer is the observed,01,1,1E,1973,1973
863,RO73T,DSG1-2 When the observer is the observed,03,2,3A,1973,1973
864,AM81T1-2,Compassion is freedom from sorrow,01,2,1E,1981,1981
866,GS66DYP1-3,Ideas increase confusion,02,3,2A,1966,1966
870,AM67DYP1-3,One sees or understands only when the mind is quiet,02,3,2A,1967,1967
873,GS67DYP1-2,"Can the mind move like a river, without anchorage?",02,2,2A,1967,1967
875,AM68DYP1-4,Can thought become quiet?,02,4,2A,1968,1968
879,SA68DYP1-4,Without images we are capable of listening to each other,02,4,2A,1968,1968
883,BN68TYP1-3,DYP1-2 A mind purged of the past knows love,02,5,2A,1968,1968
889,CL68TYP1-3,DYP1-6 Knowledge and learning are two different things,02,8,2A,1968,1968
897,ML6869DYP1-14,Can the mind function out of silence?,02,14,2A,6869,6869
915,AM69DYP1-4,Can the mind bring in itself the flame of change?,02,4,2A,1969,1969
920,SC69DYP1-3,Freedom from conflict,02,3,2A,1969,1969
